gcName,gcAction,gcCause,startTime,duration
G1 Old Generation,end of major GC,G1 Evacuation Pause,351970,10518
G1 Young Generation,end of minor GC,G1 Evacuation Pause,362489,6
G1 Old Generation,end of major GC,G1 Evacuation Pause,362495,9200
G1 Old Generation,end of major GC,G1 Evacuation Pause,371708,10371
G1 Young Generation,end of minor GC,G1 Evacuation Pause,382082,11
G1 Old Generation,end of major GC,G1 Evacuation Pause,382093,9658
G1 Young Generation,end of minor GC,G1 Evacuation Pause,391754,6
G1 Old Generation,end of major GC,G1 Evacuation Pause,391760,9521
G1 Young Generation,end of minor GC,G1 Evacuation Pause,401283,8
G1 Old Generation,end of major GC,G1 Evacuation Pause,401291,9461
G1 Young Generation,end of minor GC,G1 Evacuation Pause,410756,2
G1 Old Generation,end of major GC,G1 Evacuation Pause,410758,9268
G1 Young Generation,end of minor GC,G1 Evacuation Pause,420026,3
G1 Old Generation,end of major GC,G1 Evacuation Pause,420029,9268
G1 Young Generation,end of minor GC,G1 Evacuation Pause,429298,2
G1 Old Generation,end of major GC,G1 Evacuation Pause,429300,9284
G1 Young Generation,end of minor GC,G1 Evacuation Pause,438592,9
G1 Old Generation,end of major GC,G1 Evacuation Pause,438601,9525
G1 Old Generation,end of major GC,G1 Evacuation Pause,448126,10158
G1 Young Generation,end of minor GC,G1 Evacuation Pause,458286,1
G1 Old Generation,end of major GC,G1 Evacuation Pause,458287,11104
G1 Young Generation,end of minor GC,G1 Evacuation Pause,362,24
G1 Young Generation,end of minor GC,G1 Evacuation Pause,466,105
G1 Young Generation,end of minor GC,G1 Evacuation Pause,598,93
G1 Young Generation,end of minor GC,G1 Evacuation Pause,727,102
G1 Young Generation,end of minor GC,G1 Evacuation Pause,862,138
G1 Young Generation,end of minor GC,G1 Evacuation Pause,1048,180
G1 Young Generation,end of minor GC,G1 Evacuation Pause,1273,211
G1 Young Generation,end of minor GC,G1 Evacuation Pause,1539,224
G1 Young Generation,end of minor GC,G1 Evacuation Pause,1817,260
G1 Young Generation,end of minor GC,G1 Evacuation Pause,2242,454
G1 Young Generation,end of minor GC,G1 Evacuation Pause,2789,453
G1 Young Generation,end of minor GC,G1 Evacuation Pause,3361,516
G1 Young Generation,end of minor GC,G1 Evacuation Pause,3996,523
G1 Young Generation,end of minor GC,G1 Evacuation Pause,4812,689
G1 Young Generation,end of minor GC,G1 Evacuation Pause,5633,675
G1 Young Generation,end of minor GC,G1 Evacuation Pause,6542,687
G1 Young Generation,end of minor GC,G1 Evacuation Pause,7398,704
G1 Young Generation,end of minor GC,G1 Evacuation Pause,8383,779
G1 Young Generation,end of minor GC,G1 Evacuation Pause,9360,820
G1 Young Generation,end of minor GC,G1 Evacuation Pause,10353,781
G1 Young Generation,end of minor GC,G1 Evacuation Pause,11271,785
G1 Young Generation,end of minor GC,G1 Evacuation Pause,12325,846
G1 Young Generation,end of minor GC,G1 Evacuation Pause,13422,858
G1 Young Generation,end of minor GC,G1 Evacuation Pause,14431,836
G1 Young Generation,end of minor GC,G1 Evacuation Pause,15416,846
G1 Young Generation,end of minor GC,G1 Evacuation Pause,16573,885
G1 Young Generation,end of minor GC,G1 Evacuation Pause,17709,907
G1 Young Generation,end of minor GC,G1 Evacuation Pause,18906,892
G1 Young Generation,end of minor GC,G1 Evacuation Pause,20102,871
G1 Young Generation,end of minor GC,G1 Evacuation Pause,21500,893
G1 Young Generation,end of minor GC,G1 Evacuation Pause,22700,900
G1 Young Generation,end of minor GC,G1 Evacuation Pause,23834,900
G1 Young Generation,end of minor GC,G1 Evacuation Pause,24965,898
G1 Young Generation,end of minor GC,G1 Evacuation Pause,26225,930
G1 Young Generation,end of minor GC,G1 Evacuation Pause,27480,915
G1 Young Generation,end of minor GC,G1 Evacuation Pause,28835,923
G1 Young Generation,end of minor GC,G1 Evacuation Pause,30090,923
G1 Young Generation,end of minor GC,G1 Evacuation Pause,31458,923
G1 Young Generation,end of minor GC,G1 Evacuation Pause,32663,938
G1 Young Generation,end of minor GC,G1 Evacuation Pause,33895,915
G1 Young Generation,end of minor GC,G1 Evacuation Pause,35067,913
G1 Young Generation,end of minor GC,G1 Evacuation Pause,36193,893
G1 Young Generation,end of minor GC,G1 Evacuation Pause,37335,904
G1 Young Generation,end of minor GC,G1 Evacuation Pause,38441,887
G1 Young Generation,end of minor GC,G1 Evacuation Pause,39566,916
G1 Young Generation,end of minor GC,G1 Evacuation Pause,40687,916
G1 Young Generation,end of minor GC,G1 Evacuation Pause,41822,908
G1 Young Generation,end of minor GC,G1 Evacuation Pause,42926,910
G1 Young Generation,end of minor GC,G1 Evacuation Pause,44106,922
G1 Young Generation,end of minor GC,G1 Evacuation Pause,45307,919
G1 Young Generation,end of minor GC,G1 Evacuation Pause,46429,917
G1 Young Generation,end of minor GC,G1 Evacuation Pause,47615,911
G1 Young Generation,end of minor GC,G1 Evacuation Pause,48863,987
G1 Young Generation,end of minor GC,G1 Evacuation Pause,49995,1000
G1 Old Generation,end of major GC,G1 Evacuation Pause,50995,7374
G1 Young Generation,end of minor GC,G1 Evacuation Pause,58702,862
G1 Young Generation,end of minor GC,G1 Evacuation Pause,59782,818
G1 Young Generation,end of minor GC,G1 Evacuation Pause,60881,896
G1 Young Generation,end of minor GC,G1 Evacuation Pause,62154,911
G1 Young Generation,end of minor GC,G1 Evacuation Pause,63302,909
G1 Young Generation,end of minor GC,G1 Evacuation Pause,64449,902
G1 Young Generation,end of minor GC,G1 Evacuation Pause,65764,920
G1 Young Generation,end of minor GC,G1 Evacuation Pause,66999,914
G1 Young Generation,end of minor GC,G1 Evacuation Pause,68194,912
G1 Young Generation,end of minor GC,G1 Evacuation Pause,69517,929
G1 Young Generation,end of minor GC,G1 Evacuation Pause,70720,921
G1 Young Generation,end of minor GC,G1 Evacuation Pause,71993,931
G1 Young Generation,end of minor GC,G1 Evacuation Pause,73558,1143
G1 Young Generation,end of minor GC,G1 Evacuation Pause,74752,270
G1 Old Generation,end of major GC,G1 Evacuation Pause,75022,13449
G1 Old Generation,end of major GC,System.gc(),88474,7424
G1 Young Generation,end of minor GC,G1 Evacuation Pause,96072,855
G1 Young Generation,end of minor GC,G1 Evacuation Pause,97291,844
G1 Young Generation,end of minor GC,G1 Evacuation Pause,98341,879
G1 Young Generation,end of minor GC,G1 Evacuation Pause,99434,899
G1 Young Generation,end of minor GC,G1 Evacuation Pause,100617,912
G1 Young Generation,end of minor GC,G1 Evacuation Pause,101785,1030
G1 Young Generation,end of minor GC,G1 Evacuation Pause,102961,800
G1 Old Generation,end of major GC,G1 Evacuation Pause,103761,14504
G1 Young Generation,end of minor GC,G1 Evacuation Pause,118415,847
G1 Young Generation,end of minor GC,G1 Evacuation Pause,119440,835
G1 Young Generation,end of minor GC,G1 Evacuation Pause,120818,1081
G1 Young Generation,end of minor GC,G1 Evacuation Pause,122040,405
G1 Old Generation,end of major GC,G1 Evacuation Pause,122445,15593
G1 Old Generation,end of major GC,System.gc(),138041,8925
G1 Young Generation,end of minor GC,G1 Evacuation Pause,147226,1004
G1 Young Generation,end of minor GC,G1 Evacuation Pause,148441,728
G1 Old Generation,end of major GC,G1 Evacuation Pause,149169,15514
G1 Young Generation,end of minor GC,G1 Evacuation Pause,164864,922
G1 Old Generation,end of major GC,G1 Evacuation Pause,165786,15065
G1 Young Generation,end of minor GC,G1 Evacuation Pause,181001,671
G1 Old Generation,end of major GC,G1 Evacuation Pause,181672,9682
G1 Old Generation,end of major GC,System.gc(),191370,11253
G1 Young Generation,end of minor GC,G1 Evacuation Pause,202747,436
G1 Old Generation,end of major GC,G1 Evacuation Pause,203183,24428
G1 Young Generation,end of minor GC,G1 Evacuation Pause,227677,296
G1 Old Generation,end of major GC,G1 Evacuation Pause,227973,12218
G1 Young Generation,end of minor GC,G1 Evacuation Pause,240329,196
G1 Old Generation,end of major GC,G1 Evacuation Pause,240525,20872
G1 Young Generation,end of minor GC,G1 Evacuation Pause,261425,127
G1 Old Generation,end of major GC,G1 Evacuation Pause,261552,14776
G1 Young Generation,end of minor GC,G1 Evacuation Pause,276352,107
G1 Old Generation,end of major GC,G1 Evacuation Pause,276459,11351
G1 Young Generation,end of minor GC,G1 Evacuation Pause,287822,50
G1 Old Generation,end of major GC,G1 Evacuation Pause,287872,12706
G1 Old Generation,end of major GC,System.gc(),300591,12586
G1 Young Generation,end of minor GC,G1 Evacuation Pause,313188,45
G1 Old Generation,end of major GC,G1 Evacuation Pause,313233,9628
G1 Young Generation,end of minor GC,G1 Evacuation Pause,322871,30
G1 Old Generation,end of major GC,G1 Evacuation Pause,322901,19656
G1 Young Generation,end of minor GC,G1 Evacuation Pause,342559,9
G1 Old Generation,end of major GC,G1 Evacuation Pause,342569,10206
G1 Young Generation,end of minor GC,G1 Evacuation Pause,352778,14
G1 Old Generation,end of major GC,G1 Evacuation Pause,352792,9716
G1 Young Generation,end of minor GC,G1 Evacuation Pause,362508,2
G1 Young Generation,end of minor GC,G1 Evacuation Pause,347,24
G1 Young Generation,end of minor GC,G1 Evacuation Pause,500,168
G1 Young Generation,end of minor GC,G1 Evacuation Pause,689,93
G1 Young Generation,end of minor GC,G1 Evacuation Pause,804,97
G1 Young Generation,end of minor GC,G1 Evacuation Pause,929,116
G1 Young Generation,end of minor GC,G1 Evacuation Pause,1085,123
G1 Young Generation,end of minor GC,G1 Evacuation Pause,1250,130
G1 Young Generation,end of minor GC,G1 Evacuation Pause,1410,142
G1 Young Generation,end of minor GC,G1 Evacuation Pause,1589,185
G1 Young Generation,end of minor GC,G1 Evacuation Pause,1891,280
G1 Young Generation,end of minor GC,G1 Evacuation Pause,2240,285
G1 Young Generation,end of minor GC,G1 Evacuation Pause,2589,289
G1 Young Generation,end of minor GC,G1 Evacuation Pause,2946,321
G1 Young Generation,end of minor GC,G1 Evacuation Pause,3407,403
G1 Young Generation,end of minor GC,G1 Evacuation Pause,3891,406
G1 Young Generation,end of minor GC,G1 Evacuation Pause,4373,401
G1 Young Generation,end of minor GC,G1 Evacuation Pause,4838,407
G1 Young Generation,end of minor GC,G1 Evacuation Pause,5373,600
G1 Young Generation,end of minor GC,G1 Evacuation Pause,6074,736
G1 Young Generation,end of minor GC,G1 Evacuation Pause,6914,734
G1 Young Generation,end of minor GC,G1 Evacuation Pause,7775,755
G1 Young Generation,end of minor GC,G1 Evacuation Pause,8757,799
G1 Young Generation,end of minor GC,G1 Evacuation Pause,9746,808
G1 Young Generation,end of minor GC,G1 Evacuation Pause,10685,805
G1 Young Generation,end of minor GC,G1 Evacuation Pause,11623,809
G1 Young Generation,end of minor GC,G1 Evacuation Pause,12693,847
G1 Young Generation,end of minor GC,G1 Evacuation Pause,13681,824
G1 Young Generation,end of minor GC,G1 Evacuation Pause,14747,846
G1 Young Generation,end of minor GC,G1 Evacuation Pause,15820,822
G1 Young Generation,end of minor GC,G1 Evacuation Pause,16967,833
G1 Young Generation,end of minor GC,G1 Evacuation Pause,18106,863
G1 Young Generation,end of minor GC,G1 Evacuation Pause,19194,859
G1 Young Generation,end of minor GC,G1 Evacuation Pause,20283,856
G1 Young Generation,end of minor GC,G1 Evacuation Pause,21385,855
G1 Young Generation,end of minor GC,G1 Evacuation Pause,22439,866
G1 Young Generation,end of minor GC,G1 Evacuation Pause,23599,858
G1 Young Generation,end of minor GC,G1 Evacuation Pause,24731,877
G1 Young Generation,end of minor GC,G1 Evacuation Pause,25920,890
